datetime,open,high,low,close,volume,turnover,open_interest
2023-11-30 10:35:00,6144.11,6145.54,6141.10,6144.11,8730,804085065.00,1019229
2023-11-30 10:40:00,6142.79,6147.71,6142.32,6142.79,7307,673240320.00,1019657
2023-11-30 10:45:00,6147.35,6148.62,6142.38,6147.35,6468,595995990.00,1019167
2023-11-30 10:50:00,6152.69,6154.20,6145.91,6152.69,6076,560372280.00,1019517
2023-11-30 10:55:00,6153.86,6156.71,6149.33,6153.86,9122,841668210.00,1020779
2023-11-30 11:00:00,6158.23,6161.00,6151.75,6158.23,9480,875219490.00,1021639
2023-11-30 11:05:00,6151.11,6159.15,6151.11,6151.11,9244,853315305.00,1022155
2023-11-30 11:10:00,6152.40,6153.19,6149.31,6152.40,4884,450493890.00,1022181
2023-11-30 11:15:00,6152.04,6153.55,6151.50,6152.04,2369,218501340.00,1022367
2023-11-30 11:20:00,6155.18,6156.03,6150.77,6155.18,5128,473076960.00,1022251
2023-11-30 11:25:00,6152.84,6155.27,6152.62,6152.84,3185,293961915.00,1022382
2023-11-30 11:30:00,6156.49,6156.67,6150.85,6156.49,6337,584702820.00,1021637
2023-11-30 13:35:00,6144.37,6156.45,6144.03,6144.37,14431,1329969825.00,1019742
2023-11-30 13:40:00,6149.52,6151.70,6144.37,6149.52,6073,559753530.00,1019590
2023-11-30 13:45:00,6150.28,6150.82,6147.25,6150.28,3505,323108955.00,1019364
2023-11-30 13:50:00,6150.91,6153.72,6148.23,6150.91,5693,525163665.00,1019741
2023-11-30 13:55:00,6154.53,6155.86,6149.28,6154.53,5281,487271715.00,1019668
2023-11-30 14:00:00,6161.03,6166.54,6153.99,6161.03,14034,1296451020.00,1020499
2023-11-30 14:05:00,6166.13,6169.54,6159.74,6166.13,10971,1014110385.00,1021898
2023-11-30 14:10:00,6164.87,6166.68,6158.83,6164.87,9010,832593495.00,1022306
2023-11-30 14:15:00,6160.74,6165.50,6159.73,6160.74,5113,472384770.00,1022425
2023-11-30 14:20:00,6160.54,6160.74,6158.07,6160.54,4389,405340515.00,1022296
2023-11-30 14:25:00,6160.85,6165.17,6159.82,6160.85,4921,454689945.00,1022017
2023-11-30 14:30:00,6163.66,6164.57,6159.37,6163.66,5707,527303100.00,1021756
2023-11-30 14:35:00,6169.57,6176.23,6162.95,6169.57,13341,1234376115.00,1024280
2023-11-30 14:40:00,6172.39,6173.41,6168.82,6172.39,8875,821225250.00,1025101
2023-11-30 14:45:00,6167.92,6172.75,6165.33,6167.92,9374,867085305.00,1024022
2023-11-30 14:50:00,6170.90,6171.83,6167.88,6170.90,6354,587881020.00,1022918
2023-11-30 14:55:00,6172.95,6175.13,6170.36,6172.95,6996,647587620.00,1023436
2023-11-30 15:00:00,6173.50,6174.77,6169.42,6173.50,12192,1128466665.00,1023751
2023-11-30 21:05:00,6168.57,6173.54,6160.96,6168.57,21439,1982671635.00,1023898
2023-11-30 21:10:00,6164.16,6169.11,6157.62,6164.16,9751,901045740.00,1023978
2023-11-30 21:15:00,6171.07,6171.86,6161.70,6171.07,8551,790747785.00,1024897
2023-11-30 21:20:00,6166.15,6177.76,6166.02,6166.15,11482,1062652065.00,1025493
2023-11-30 21:25:00,6170.66,6170.66,6163.21,6170.66,6261,578962140.00,1025342
2023-11-30 21:30:00,6175.39,6175.60,6169.50,6175.39,6592,610109115.00,1025998
2023-11-30 21:35:00,6157.95,6189.28,6153.97,6157.95,52766,4882136460.00,1027212
2023-11-30 21:40:00,6158.53,6161.26,6150.14,6158.53,20788,1919409645.00,1027738
2023-11-30 21:45:00,6164.54,6165.81,6155.01,6164.54,11923,1101408915.00,1028026
2023-11-30 21:50:00,6178.55,6191.91,6161.15,6178.55,27869,2583331950.00,1031231
2023-11-30 21:55:00,6160.05,6178.67,6159.50,6160.05,18614,1722086910.00,1030390
2023-11-30 22:00:00,6167.69,6168.40,6157.23,6167.69,13259,1225157040.00,1029817
2023-11-30 22:05:00,6163.95,6167.69,6157.10,6163.95,12186,1125966345.00,1030182
2023-11-30 22:10:00,6170.75,6173.33,6163.80,6170.75,11277,1043226285.00,1029943
2023-11-30 22:15:00,6173.57,6184.26,6170.43,6173.57,17600,1630511340.00,1032135
2023-11-30 22:20:00,6165.59,6174.30,6161.12,6165.59,12383,1145134140.00,1031139
2023-11-30 22:25:00,6169.34,6170.34,6165.04,6169.34,5917,547273305.00,1031153
2023-11-30 22:30:00,6164.08,6169.50,6160.36,6164.08,5861,541746435.00,1030945
2023-11-30 22:35:00,6155.34,6164.80,6154.07,6155.34,11131,1028179065.00,1031239
2023-11-30 22:40:00,6149.91,6160.65,6146.89,6149.91,16547,1526911185.00,1031084
2023-11-30 22:45:00,6148.76,6157.99,6141.12,6148.76,20051,1849018095.00,1030944
2023-11-30 22:50:00,6157.94,6158.10,6143.57,6157.94,13120,1210036050.00,1031196
2023-11-30 22:55:00,6160.06,6163.19,6152.91,6160.06,10825,999886725.00,1031529
2023-11-30 23:00:00,6160.20,6163.07,6154.73,6160.20,8239,760945590.00,1031890
2023-11-30 23:05:00,6160.36,6164.16,6158.71,6160.36,10937,1010503080.00,1034654
2023-11-30 23:10:00,6154.46,6162.45,6154.46,6154.46,6367,588026580.00,1035631
2023-11-30 23:15:00,6158.85,6161.34,6153.98,6158.85,5879,542833410.00,1035627
2023-11-30 23:20:00,6164.64,6168.03,6156.18,6164.64,8701,804022185.00,1034805
2023-11-30 23:25:00,6165.54,6166.44,6162.07,6165.54,6394,591068505.00,1035281
2023-11-30 23:30:00,6162.71,6167.16,6160.83,6162.71,5123,473554650.00,1035683
2023-11-30 23:35:00,6173.69,6175.83,6162.16,6173.69,7247,670379235.00,1035526
2023-11-30 23:40:00,6167.86,6174.91,6166.82,6167.86,6717,621446745.00,1036100
2023-11-30 23:45:00,6169.21,6170.09,6166.94,6169.21,2619,242257350.00,1036725
2023-11-30 23:50:00,6168.42,6172.03,6167.87,6168.42,4033,373166190.00,1036609
2023-11-30 23:55:00,6172.14,6174.86,6167.48,6172.14,5279,488530365.00,1037221
2023-12-01 00:00:00,6175.42,6181.25,6169.51,6175.42,10228,947160075.00,1038020
2023-12-01 00:05:00,6173.48,6177.99,6173.13,6173.48,4798,444350685.00,1038421
2023-12-01 00:10:00,6171.15,6174.06,6170.93,6171.15,2659,246066615.00,1038311
2023-12-01 00:15:00,6169.06,6172.74,6169.03,6169.06,2550,235957725.00,1038095
2023-12-01 00:20:00,6169.25,6172.44,6168.79,6169.25,3166,292904895.00,1037825
2023-12-01 00:25:00,6177.50,6178.22,6169.04,6177.50,4381,405604650.00,1038071
2023-12-01 00:30:00,6183.18,6185.03,6176.82,6183.18,7894,731689440.00,1038781
2023-12-01 00:35:00,6178.80,6183.89,6178.61,6178.80,3347,310174680.00,1039066
2023-12-01 00:40:00,6178.72,6181.11,6177.11,6178.72,2253,208761915.00,1039269
2023-12-01 00:45:00,6178.64,6179.87,6176.47,6178.64,1624,150433710.00,1039188
2023-12-01 00:50:00,6187.84,6187.84,6178.09,6187.84,5563,515941425.00,1039691
2023-12-01 00:55:00,6187.33,6188.07,6184.73,6187.33,3747,347661885.00,1040177
2023-12-01 01:00:00,6189.78,6190.83,6185.26,6189.78,4378,406263195.00,1041135
2023-12-01 01:05:00,6186.18,6194.72,6183.37,6186.18,11396,1057914540.00,1042296
2023-12-01 01:10:00,6182.78,6187.82,6180.77,6182.78,4917,455902995.00,1042666
2023-12-01 01:15:00,6185.07,6185.11,6182.17,6185.07,2030,188227155.00,1043003
2023-12-01 01:20:00,6184.17,6185.94,6184.15,6184.17,1816,168428625.00,1043030
2023-12-01 01:25:00,6189.28,6189.83,6183.30,6189.28,2163,200624970.00,1043078
2023-12-01 01:30:00,6187.61,6190.92,6186.92,6187.61,2050,190252275.00,1043352
2023-12-01 01:35:00,6184.40,6188.52,6183.97,6184.40,1862,172742100.00,1043244
2023-12-01 01:40:00,6183.87,6184.71,6183.07,6183.87,1751,162354165.00,1042941
2023-12-01 01:45:00,6184.83,6184.83,6182.80,6184.83,804,74556435.00,1042875
2023-12-01 01:50:00,6185.35,6186.78,6184.67,6185.35,926,85883265.00,1042859
2023-12-01 01:55:00,6183.51,6187.25,6183.51,6183.51,1087,100817715.00,1043054
2023-12-01 02:00:00,6178.96,6184.05,6177.36,6178.96,3504,324748035.00,1042293
2023-12-01 02:05:00,6183.85,6184.68,6178.79,6183.85,2155,199774770.00,1042427
2023-12-01 02:10:00,6185.76,6186.55,6183.17,6185.76,1714,158979855.00,1042482
2023-12-01 02:15:00,6185.32,6186.72,6185.16,6185.32,868,80512575.00,1042515
2023-12-01 02:20:00,6188.62,6189.64,6184.99,6188.62,1556,144389400.00,1042282
2023-12-01 02:25:00,6191.31,6193.04,6188.62,6191.31,2335,216788340.00,1042233
2023-12-01 02:30:00,6195.34,6196.45,6191.31,6195.34,5365,498425745.00,1041509
2023-12-01 09:05:00,6230.63,6238.18,6195.48,6230.63,62347,5821213755.00,1046087
2023-12-01 09:10:00,6222.89,6231.01,6215.92,6222.89,22568,2105890125.00,1045905
2023-12-01 09:15:00,6202.69,6224.23,6200.16,6202.69,22461,2091811470.00,1044272
2023-12-01 09:20:00,6205.40,6206.79,6198.51,6205.40,15997,1488133710.00,1042742
2023-12-01 09:25:00,6201.51,6209.01,6199.87,6201.51,10874,1011650205.00,1041213
2023-12-01 09:30:00,6202.85,6205.25,6199.99,6202.85,5911,549743520.00,1041300
2023-12-01 09:35:00,6203.28,6205.25,6197.02,6203.28,8130,755931375.00,1041633
